Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Driving,1.77566E+18,372.2626785,-0.446862727,0.122916363,0.056227777,0.884332478,0.270968318,0.010405572,0.934356034
Driving,1.77566E+18,374.3555383,-0.445102841,0.109020963,0.032144517,0.88823694,0.224342838,0.039957821,0.924566209
Driving,1.77566E+18,376.4484595,-0.435228646,0.106212877,0.047557466,0.892767191,0.233156785,0.007538353,0.906321049
Driving,1.77566E+18,378.5414412,-0.4422023,0.077248208,0.015997261,0.893439531,0.152896568,0.03974396,0.916144371
Driving,1.77566E+18,380.6344844,-0.431982011,0.073159225,0.010226117,0.898851931,0.140961185,0.044838432,0.892837822
Driving,1.77566E+18,382.7272527,-0.44743365,0.131751209,0.062843136,0.88232404,0.292908311,0.007003886,0.937602818
Driving,1.77566E+18,384.8200515,-0.46003139,0.142669722,0.076975383,0.872978449,0.325643927,-0.003130605,0.970490873
Driving,1.77566E+18,386.9126062,-0.464756608,0.142214477,0.077617548,0.870489538,0.325455457,-0.002940286,0.981283665
Driving,1.77566E+18,389.0049778,-0.462230206,0.142494604,0.077858321,0.871766329,0.326176524,-0.004017915,0.97572577
Driving,1.77566E+18,391.097563,-0.462762445,0.143442228,0.077195227,0.871387422,0.327243567,-0.00177455,0.976670563
Driving,1.77566E+18,393.1903008,-0.460510105,0.143329561,0.07733772,0.872585773,0.327171326,-0.002958168,0.971694291
Driving,1.77566E+18,395.2833521,-0.465507209,0.142443523,0.077537276,0.870058,0.325790107,-0.002306896,0.982933998
Driving,1.77566E+18,397.3762419,-0.463947386,0.142825082,0.076543964,0.870916188,0.325520724,-0.000800103,0.979078233
Driving,1.77566E+18,399.4691626,-0.464671642,0.142804727,0.077557914,0.870443583,0.326453328,-0.002304958,0.981072545
Driving,1.77566E+18,401.5622051,-0.461926699,0.143034473,0.07718195,0.871899009,0.326499045,-0.002446848,0.974798322
Driving,1.77566E+18,403.6553394,-0.461416006,0.144372761,0.07660941,0.871999383,0.328352034,-0.000374913,0.973447263
Driving,1.77566E+18,405.7484124,-0.464328885,0.142415866,0.077475734,0.870697439,0.325678647,-0.002660248,0.980274737
Driving,1.77566E+18,407.8414854,-0.465374082,0.142217919,0.077741213,0.870147943,0.325581819,-0.002923642,0.982711136
Driving,1.77566E+18,409.934467,-0.461050808,0.142495856,0.076847948,0.872480035,0.325214833,-0.002700958,0.972718239
Driving,1.77566E+18,412.0273875,-0.454296708,0.216485232,0.149050206,0.851194978,0.529138982,-0.057075489,0.995977998
Driving,1.77566E+18,414.1204607,-0.455096841,0.204953745,0.120990701,0.858045518,0.480189174,-0.021085007,0.980484664
Driving,1.77566E+18,416.2133308,-0.522074342,0.234304234,0.07983426,0.816190302,0.488053054,0.114579104,1.109568596
Driving,1.77566E+18,418.3056406,-0.578924239,0.205947116,0.095946632,0.783087969,0.45041275,0.088300951,1.252973199
Driving,1.77566E+18,420.3216577,-0.539397418,0.188617706,0.140197799,0.808590353,0.473941535,-0.023247458,1.182197213
Driving,1.77566E+18,422.3338906,-0.515655696,0.12844339,0.114042521,0.83940208,0.340359479,-0.059024192,1.111900568
Driving,1.77566E+18,424.3867458,-0.511331797,0.131262794,0.104497045,0.842846572,0.334633172,-0.041924555,1.09770453
Driving,1.77566E+18,426.4778059,-0.514550984,0.126079991,0.10860537,0.841157615,0.330300659,-0.052984096,1.106814742
Driving,1.77566E+18,428.5709109,-0.511649311,0.122950226,0.084737055,0.846119225,0.299265027,-0.017581414,1.090388775
Driving,1.77566E+18,430.583512,-0.510992348,0.08636672,0.052688688,0.853610933,0.202679262,-0.001685814,1.078986406
Driving,1.77566E+18,432.6763518,-0.53308785,0.058595106,-0.000761063,0.844028115,0.098459408,0.06380067,1.123517632
Driving,1.77566E+18,434.7694253,-0.506904244,0.053006075,-0.020431958,0.860128522,0.070809178,0.089003697,1.061927557
Driving,1.77566E+18,436.8625291,-0.471231192,-0.205808744,0.196969554,0.834737778,-0.1863731,-0.550135612,0.975115478
Driving,1.77566E+18,438.8753882,-0.633196533,-0.21268703,0.219363227,0.711130261,-0.030356657,-0.620370984,1.445250511
Driving,1.77566E+18,441.0127126,-0.420362741,-0.180090547,0.302005947,0.836453736,-0.062849849,-0.716347992,0.907843947
