Activity,time,seconds_elapsed,dBFS
Driving,1.77566E+18,31.483,-18.56349663
Driving,1.77566E+18,31.599,-17.32788094
Driving,1.77566E+18,31.714,-18.71992168
Driving,1.77566E+18,31.83,-16.7968325
Driving,1.77566E+18,31.945,-16.52433288
Driving,1.77566E+18,32.05999976,-16.82805361
Driving,1.77566E+18,32.174,-11.94707793
Driving,1.77566E+18,32.289,-14.86523441
Driving,1.77566E+18,32.40399976,-15.24473534
Driving,1.77566E+18,32.52000024,-18.93062532
Driving,1.77566E+18,32.635,-16.92983893
Driving,1.77566E+18,32.74799976,-17.09901331
Driving,1.77566E+18,32.86400024,-17.11611339
Driving,1.77566E+18,32.97999976,-20.02043521
Driving,1.77566E+18,33.095,-17.05546543
Driving,1.77566E+18,33.21,-15.48570165
Driving,1.77566E+18,33.325,-15.42600457
Driving,1.77566E+18,33.44000024,-18.69479483
Driving,1.77566E+18,33.555,-18.27187783
Driving,1.77566E+18,33.67,-16.23087455
Driving,1.77566E+18,33.785,-18.56349663
Driving,1.77566E+18,33.901,-18.6017754
Driving,1.77566E+18,34.015,-19.47714874
Driving,1.77566E+18,34.13199976,-18.48966892
Driving,1.77566E+18,34.247,-15.11839843
Driving,1.77566E+18,34.361,-16.82069737
Driving,1.77566E+18,34.477,-19.2432127
Driving,1.77566E+18,34.591,-17.26574151
Driving,1.77566E+18,34.70799976,-16.51900466
Driving,1.77566E+18,34.825,-17.11611339
Driving,1.77566E+18,34.941,-19.09625613
Driving,1.77566E+18,35.05600024,-18.79574133
Driving,1.77566E+18,35.171,-17.75936817
Driving,1.77566E+18,35.286,-18.35921783
Driving,1.77566E+18,35.401,-18.71763441
Driving,1.77566E+18,35.51599976,-17.58298858
Driving,1.77566E+18,35.631,-17.77782044
Driving,1.77566E+18,35.746,-18.06789873
Driving,1.77566E+18,35.861,-20.83315693
Driving,1.77566E+18,35.97600024,-15.61273703
Driving,1.77566E+18,36.091,-17.77782044
Driving,1.77566E+18,36.206,-17.29869773
Driving,1.77566E+18,36.322,-18.03189719
Driving,1.77566E+18,36.437,-19.88597195
Driving,1.77566E+18,36.551,-17.51103878
Driving,1.77566E+18,36.667,-16.98211874
Driving,1.77566E+18,36.782,-18.74741595
Driving,1.77566E+18,36.89600024,-16.53855747
Driving,1.77566E+18,37.01,-16.65139771
Driving,1.77566E+18,37.126,-18.3548299
Driving,1.77566E+18,37.241,-16.4131209
Driving,1.77566E+18,37.35599976,-16.70927974
Driving,1.77566E+18,37.471,-16.12842528
Driving,1.77566E+18,37.587,-20.29303016
Driving,1.77566E+18,37.701,-18.3723949
Driving,1.77566E+18,37.81600024,-17.26767666
Driving,1.77566E+18,37.93199976,-17.82102879
Driving,1.77566E+18,38.047,-19.00831506
Driving,1.77566E+18,38.161,-17.81072158
Driving,1.77566E+18,38.277,-18.85362432
Driving,1.77566E+18,38.39200024,-15.96531309
Driving,1.77566E+18,38.507,-17.22712892
Driving,1.77566E+18,38.622,-20.46470459
Driving,1.77566E+18,38.739,-18.3176218
Driving,1.77566E+18,38.853,-17.49910488
Driving,1.77566E+18,38.96800024,-17.125628
Driving,1.77566E+18,39.08399976,-19.68171033
Driving,1.77566E+18,39.20000024,-18.33073588
Driving,1.77566E+18,39.315,-17.22905548
Driving,1.77566E+18,39.43,-16.995238
Driving,1.77566E+18,39.546,-16.36938081
Driving,1.77566E+18,39.661,-19.2286472
Driving,1.77566E+18,39.77600024,-19.49964135
Driving,1.77566E+18,39.891,-17.05168896
Driving,1.77566E+18,40.006,-18.63569145
Driving,1.77566E+18,40.122,-17.81278204
Driving,1.77566E+18,40.237,-16.56707673
Driving,1.77566E+18,40.35200024,-16.42716438
Driving,1.77566E+18,40.467,-16.5438977
Driving,1.77566E+18,40.58400024,-15.81011534
Driving,1.77566E+18,40.698,-15.02371611
Driving,1.77566E+18,40.814,-18.04247039
Driving,1.77566E+18,40.929,-5.663045581
Driving,1.77566E+18,41.04399976,-7.725251563
Driving,1.77566E+18,41.159,-8.763556349
Driving,1.77566E+18,41.274,-15.18362065
Driving,1.77566E+18,41.39,-20.71147136
Driving,1.77566E+18,41.505,-20.38952573
Driving,1.77566E+18,41.61999976,-21.51260939
Driving,1.77566E+18,41.734,-19.49463796
Driving,1.77566E+18,41.84800024,-19.98596209
Driving,1.77566E+18,41.977,-21.04282142
Driving,1.77566E+18,42.093,-17.21942695
Driving,1.77566E+18,42.20800024,-20.99810248
Driving,1.77566E+18,42.32399976,-19.96481566
Driving,1.77566E+18,42.439,-19.92004972
Driving,1.77566E+18,42.554,-19.56999317
Driving,1.77566E+18,42.669,-18.15748876
Driving,1.77566E+18,42.785,-20.15701283
Driving,1.77566E+18,42.899,-19.34831972
Driving,1.77566E+18,43.015,-18.77269571
Driving,1.77566E+18,43.131,-19.16821918
Driving,1.77566E+18,43.246,-19.93845483
Driving,1.77566E+18,43.361,-18.52538581
Driving,1.77566E+18,43.47599976,-20.03905449
Driving,1.77566E+18,43.591,-19.36308746
Driving,1.77566E+18,43.706,-21.06077366
Driving,1.77566E+18,43.81,-17.2213518
Driving,1.77566E+18,43.925,-17.58901139
Driving,1.77566E+18,44.039,-20.81858084
Driving,1.77566E+18,44.154,-18.32636232
Driving,1.77566E+18,44.269,-18.28492297
Driving,1.77566E+18,44.383,-7.388034371
Driving,1.77566E+18,44.498,-9.721869872
Driving,1.77566E+18,44.614,-10.58943206
Driving,1.77566E+18,44.725,-13.78075798
Driving,1.77566E+18,44.84000024,-18.07639141
Driving,1.77566E+18,44.955,-18.5142085
Driving,1.77566E+18,45.069,-15.30937195
Driving,1.77566E+18,45.185,-16.87602169
Driving,1.77566E+18,45.301,-13.44283197
Driving,1.77566E+18,45.417,-9.273338685
Driving,1.77566E+18,45.53199976,-20.32049111
Driving,1.77566E+18,45.64800024,-14.55244228
Driving,1.77566E+18,45.762,-19.60285122
Driving,1.77566E+18,45.87599976,-18.88854018
Driving,1.77566E+18,45.99,-15.92045043
Driving,1.77566E+18,46.10400024,-17.74095502
Driving,1.77566E+18,46.218,-22.11007116
Driving,1.77566E+18,46.334,-18.9048824
Driving,1.77566E+18,46.449,-21.62374457
Driving,1.77566E+18,46.56399976,-20.549007
Driving,1.77566E+18,46.68000024,-17.92477931
Driving,1.77566E+18,46.795,-16.79866593
Driving,1.77566E+18,46.91,-18.72449802
Driving,1.77566E+18,47.026,-16.42892141
Driving,1.77566E+18,47.142,-17.75322612
Driving,1.77566E+18,47.257,-17.41208705
Driving,1.77566E+18,47.383,-15.73354412
Driving,1.77566E+18,47.498,-17.28123474
Driving,1.77566E+18,47.613,-17.49314408
Driving,1.77566E+18,47.72800024,-17.00274363
Driving,1.77566E+18,47.843,-18.56574366
Driving,1.77566E+18,47.958,-16.65680779
Driving,1.77566E+18,48.073,-16.78584002
Driving,1.77566E+18,48.19,-18.01711628
Driving,1.77566E+18,48.305,-17.46142201
Driving,1.77566E+18,48.41999976,-16.74018717
Driving,1.77566E+18,48.535,-17.92686701
Driving,1.77566E+18,48.65,-18.73365793
Driving,1.77566E+18,48.765,-20.65126195
Driving,1.77566E+18,48.87599976,-21.38420559
Driving,1.77566E+18,48.991,-20.93883313
Driving,1.77566E+18,49.107,-21.65576042
Driving,1.77566E+18,49.222,-22.08307536
Driving,1.77566E+18,49.337,-22.363842
Driving,1.77566E+18,49.453,-22.87998727
Driving,1.77566E+18,49.56800024,-21.61735554
Driving,1.77566E+18,49.683,-23.31929764
Driving,1.77566E+18,49.799,-20.03106991
Driving,1.77566E+18,49.914,-20.95657151
Driving,1.77566E+18,50.029,-18.65610483
Driving,1.77566E+18,50.145,-21.20269819
Driving,1.77566E+18,50.25999976,-18.54329949
Driving,1.77566E+18,50.375,-19.050986
Driving,1.77566E+18,50.49,-17.73278391
Driving,1.77566E+18,50.605,-18.26102182
Driving,1.77566E+18,50.721,-21.23930895
Driving,1.77566E+18,50.837,-26.51892735
Driving,1.77566E+18,50.951,-23.33095916
Driving,1.77566E+18,51.066,-21.78176215
Driving,1.77566E+18,51.181,-18.07426746
Driving,1.77566E+18,51.29600024,-23.05154756
Driving,1.77566E+18,51.411,-26.00127057
Driving,1.77566E+18,51.526,-27.77961135
Driving,1.77566E+18,51.641,-19.29682947
Driving,1.77566E+18,51.75599976,-28.3497122
Driving,1.77566E+18,51.871,-28.69620388
Driving,1.77566E+18,51.987,-23.26122372
Driving,1.77566E+18,52.103,-26.34109102
Driving,1.77566E+18,52.218,-28.00318179
Driving,1.77566E+18,52.334,-25.71509678
Driving,1.77566E+18,52.449,-28.79049839
Driving,1.77566E+18,52.56399976,-30.85542178
Driving,1.77566E+18,52.68000024,-31.71014242
Driving,1.77566E+18,52.795,-30.84617655
Driving,1.77566E+18,52.91,-28.10367528
Driving,1.77566E+18,53.026,-32.57891912
Driving,1.77566E+18,53.141,-32.83070167
Driving,1.77566E+18,53.25600024,-33.35728044
Driving,1.77566E+18,53.37199976,-34.11753933
Driving,1.77566E+18,53.487,-35.83962018
Driving,1.77566E+18,53.602,-36.29465928
Driving,1.77566E+18,53.717,-37.47925141
Driving,1.77566E+18,53.833,-35.07017685
Driving,1.77566E+18,53.94799976,-34.77470994
Driving,1.77566E+18,54.063,-33.30806847
Driving,1.77566E+18,54.178,-35.43853833
Driving,1.77566E+18,54.294,-34.39113328
Driving,1.77566E+18,54.409,-34.63066204
Driving,1.77566E+18,54.52399976,-37.63936451
Driving,1.77566E+18,54.639,-25.94853276
Driving,1.77566E+18,54.755,-23.54757611
Driving,1.77566E+18,54.871,-35.42287396
Driving,1.77566E+18,54.987,-34.50303034
Driving,1.77566E+18,55.102,-35.39162972
Driving,1.77566E+18,55.217,-35.17601146
Driving,1.77566E+18,55.333,-34.89169339
Driving,1.77566E+18,55.44800024,-36.38160585
Driving,1.77566E+18,55.56399976,-34.40504183
Driving,1.77566E+18,55.679,-36.27737392
Driving,1.77566E+18,55.794,-35.51728673
Driving,1.77566E+18,55.909,-36.27737392
Driving,1.77566E+18,56.02400024,-36.17437798
Driving,1.77566E+18,56.13999976,-35.31400731
Driving,1.77566E+18,56.255,-34.5453662
Driving,1.77566E+18,56.371,-34.73124418
Driving,1.77566E+18,56.485,-37.24448335
Driving,1.77566E+18,56.601,-37.70017612
Driving,1.77566E+18,56.71599976,-37.09142406
Driving,1.77566E+18,56.831,-36.36414677
Driving,1.77566E+18,56.946,-37.14850569
Driving,1.77566E+18,57.05999976,-36.81151081
Driving,1.77566E+18,57.175,-38.94469914
Driving,1.77566E+18,57.29,-35.28315154
Driving,1.77566E+18,57.405,-36.38160585
Driving,1.77566E+18,57.521,-35.07017685
Driving,1.77566E+18,57.63599976,-35.50147983
Driving,1.77566E+18,57.751,-35.252405
Driving,1.77566E+18,57.866,-36.24290606
Driving,1.77566E+18,57.97999976,-37.82309171
Driving,1.77566E+18,58.09600024,-37.01589411
Driving,1.77566E+18,58.211,-35.90554755
Driving,1.77566E+18,58.326,-35.454231
Driving,1.77566E+18,58.441,-36.72017569
Driving,1.77566E+18,58.558,-37.07247991
Driving,1.77566E+18,58.673,-35.29856573
Driving,1.77566E+18,58.78799976,-36.62979101
Driving,1.77566E+18,58.90400024,-37.74095502
Driving,1.77566E+18,59.019,-38.55451432
Driving,1.77566E+18,59.134,-38.2675338
Driving,1.77566E+18,59.249,-36.88527677
Driving,1.77566E+18,59.36399976,-36.48710378
Driving,1.77566E+18,59.479,-38.0107893
Driving,1.77566E+18,59.594,-36.41662964
Driving,1.77566E+18,59.709,-38.05305649
Driving,1.77566E+18,59.825,-37.41996183
Driving,1.77566E+18,59.93999976,-38.78190662
Driving,1.77566E+18,60.055,-37.59905869
Driving,1.77566E+18,60.17,-37.94777169
Driving,1.77566E+18,60.28399976,-35.56488077
Driving,1.77566E+18,60.399,-38.0107893
Driving,1.77566E+18,60.515,-36.77486143
Driving,1.77566E+18,60.631,-34.65928114
Driving,1.77566E+18,60.746,-33.65855537
Driving,1.77566E+18,60.861,-38.42088262
Driving,1.77566E+18,60.977,-35.87252132
Driving,1.77566E+18,61.091,-36.34672271
Driving,1.77566E+18,61.206,-36.17437798
Driving,1.77566E+18,61.322,-38.44301228
Driving,1.77566E+18,61.437,-37.90601252
Driving,1.77566E+18,61.553,-35.19123651
Driving,1.77566E+18,61.66799976,-39.35323952
Driving,1.77566E+18,61.78400024,-37.94777169
Driving,1.77566E+18,61.89999976,-37.47925141
Driving,1.77566E+18,62.015,-37.92686701
Driving,1.77566E+18,62.131,-37.36107422
Driving,1.77566E+18,62.246,-37.41996183
Driving,1.77566E+18,62.361,-37.03471512
Driving,1.77566E+18,62.47599976,-35.69308811
Driving,1.77566E+18,62.591,-33.65855537
Driving,1.77566E+18,62.706,-36.95967457
Driving,1.77566E+18,62.822,-38.46519847
Driving,1.77566E+18,62.937,-36.32933354
Driving,1.77566E+18,63.05199976,-34.7168038
Driving,1.77566E+18,63.16800024,-36.26012289
Driving,1.77566E+18,63.283,-36.03892276
Driving,1.77566E+18,63.399,-36.41662964
Driving,1.77566E+18,63.514,-38.55451432
Driving,1.77566E+18,63.629,-35.3294764
Driving,1.77566E+18,63.745,-35.16081305
Driving,1.77566E+18,63.85999976,-37.09142406
Driving,1.77566E+18,63.975,-35.62874789
Driving,1.77566E+18,64.091,-36.27737392
Driving,1.77566E+18,64.206,-37.07247991
Driving,1.77566E+18,64.321,-37.16761657
Driving,1.77566E+18,64.43599976,-37.43968009
Driving,1.77566E+18,64.551,-36.45179524
Driving,1.77566E+18,64.667,-34.33572071
Driving,1.77566E+18,64.782,-37.43968009
Driving,1.77566E+18,64.897,-36.00538647
Driving,1.77566E+18,65.01199976,-33.86537204
Driving,1.77566E+18,65.12800024,-33.04227642
Driving,1.77566E+18,65.242,-36.43419464
Driving,1.77566E+18,65.358,-37.45944322
Driving,1.77566E+18,65.473,-37.76141649
Driving,1.77566E+18,65.58799976,-37.49910488
