Activity,time,seconds_elapsed,dBFS
Classroom,1.78E+18,27.805,-37.65958778
Classroom,1.78E+18,27.92,-37.84374781
Classroom,1.78E+18,28.035,-44.11613027
Classroom,1.78E+18,28.151,-17.90809572
Classroom,1.78E+18,28.265,-13.37580705
Classroom,1.78E+18,28.38200024,-21.57594099
Classroom,1.78E+18,28.497,-22.18133691
Classroom,1.78E+18,28.612,-38.85130158
Classroom,1.78E+18,28.728,-43.30377326
Classroom,1.78E+18,28.843,-47.08137358
Classroom,1.78E+18,28.95800024,-49.01957384
Classroom,1.78E+18,29.073,-49.01957384
Classroom,1.78E+18,29.189,-47.76663766
Classroom,1.78E+18,29.304,-48.44029992
Classroom,1.78E+18,29.419,-42.17793001
Classroom,1.78E+18,29.535,-44.87190149
Classroom,1.78E+18,29.64999976,-46.84500825
Classroom,1.78E+18,29.765,-48.16453423
Classroom,1.78E+18,29.881,-30.92041538
Classroom,1.78E+18,29.996,-30.79091089
Classroom,1.78E+18,30.111,-30.20512337
Classroom,1.78E+18,30.22599976,-26.2426353
Classroom,1.78E+18,30.341,-29.10233305
Classroom,1.78E+18,30.457,-34.51711938
Classroom,1.78E+18,30.572,-32.11761304
Classroom,1.78E+18,30.688,-33.09000121
Classroom,1.78E+18,30.803,-41.58548068
Classroom,1.78E+18,30.91800024,-34.60213692
Classroom,1.78E+18,31.03399976,-34.36338281
Classroom,1.78E+18,31.149,-30.69049487
Classroom,1.78E+18,31.264,-32.00073692
Classroom,1.78E+18,31.379,-30.44000901
Classroom,1.78E+18,31.49400024,-29.70483792
Classroom,1.78E+18,31.609,-33.38199138
Classroom,1.78E+18,31.724,-36.41662964
Classroom,1.78E+18,31.844,-37.32203645
Classroom,1.78E+18,31.955,-43.26508326
Classroom,1.78E+18,32.07000024,-33.05418306
Classroom,1.78E+18,32.18599976,-37.9687268
Classroom,1.78E+18,32.301,-33.46903753
Classroom,1.78E+18,32.416,-43.70045816
Classroom,1.78E+18,32.531,-33.87846305
Classroom,1.78E+18,32.647,-41.9427078
