Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Classroom,1.77575E+18,176.6822927,-0.335490704,0.316583365,-0.817377806,0.345129669,-2.590388536,0.88928926,-2.670419455
Classroom,1.77575E+18,178.7747234,-0.335445136,0.316577017,-0.817461073,0.344982624,-2.590501547,0.888946474,-2.670327663
Classroom,1.77575E+18,180.8673677,-0.336694807,0.318923831,-0.816517234,0.343836963,-2.589715481,0.888707578,-2.664872646
Classroom,1.77575E+18,182.9587458,-0.336570293,0.319055289,-0.816512704,0.343847483,-2.590252638,0.888744295,-2.664330482
Classroom,1.77575E+18,185.0509023,-0.335984051,0.317240387,-0.8170892,0.344729841,-2.589738607,0.889132619,-2.6690588
Classroom,1.77575E+18,187.1431812,-0.335889935,0.316963017,-0.817196369,0.344822675,-2.589668989,0.889100134,-2.669761419
Classroom,1.77575E+18,189.235582,-0.336022884,0.317221284,-0.817170858,0.34451586,-2.589579344,0.888685763,-2.669094801
Classroom,1.77575E+18,191.3280134,-0.336216897,0.317287982,-0.817055464,0.34453851,-2.589093924,0.888884783,-2.669170618
Classroom,1.77575E+18,193.4202615,-0.335617751,0.316505373,-0.817436814,0.34493804,-2.589895725,0.888901234,-2.670750856
Classroom,1.77575E+18,195.5124485,-0.336145639,0.317449182,-0.817001045,0.344588876,-2.589516163,0.889056087,-2.668627977
Classroom,1.77575E+18,197.6045442,-0.336139321,0.317409158,-0.817029834,0.344563454,-2.589480877,0.888972521,-2.668726206
Classroom,1.77575E+18,199.6964871,-0.336063981,0.317332149,-0.817007303,0.344761521,-2.589623213,0.889303565,-2.668912411
Classroom,1.77575E+18,201.7887659,-0.33667317,0.319031328,-0.816448569,0.343921334,-2.589926004,0.888944149,-2.66456151
Classroom,1.77575E+18,203.8810076,-0.335994422,0.317631632,-0.817099035,0.344335884,-2.590172768,0.888549507,-2.667816639
Classroom,1.77575E+18,205.9734387,-0.335740358,0.31738925,-0.817314029,0.344296902,-2.590607882,0.888169229,-2.668160677
Classroom,1.77575E+18,208.0658088,-0.335736871,0.317015201,-0.817336679,0.344590843,-2.590166092,0.888554037,-2.66932869
Classroom,1.77575E+18,210.1582708,-0.335925102,0.317412168,-0.81703645,0.34475401,-2.590135336,0.889261365,-2.668493032
Classroom,1.77575E+18,212.250946,-0.335533559,0.316561192,-0.817358732,0.345153809,-2.590235949,0.889350474,-2.670549154
Classroom,1.77575E+18,214.3434688,-0.335794479,0.317087829,-0.817194104,0.344806224,-2.590109587,0.889092028,-2.669268608
